timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673376844923,4392,object_info_1,200,OK,Thread Group 1-65,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,4392,0,3077
1673376847957,1359,get_method,200,OK,Thread Group 1-241,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,1359,0,45
1673376847944,1372,object_info_1,200,OK,Thread Group 1-353,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1372,0,56
1673376847960,1357,get_method,200,OK,Thread Group 1-532,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,1356,0,46
1673376847979,1340,HTTP Request test,200,OK,Thread Group 1-579,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1340,0,1059
1673376847981,1341,HTTP Request test,200,OK,Thread Group 1-392,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1341,0,1057
1673376847984,1339,object_info_1,200,OK,Thread Group 1-347,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1339,0,1055
1673376847982,1343,HTTP Request test,200,OK,Thread Group 1-588,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1343,0,1056
1673376847398,1927,object_info_1,200,OK,Thread Group 1-344,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1927,0,1052
1673376847981,1344,object_info_1,200,OK,Thread Group 1-538,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,1344,0,1057
1673376845400,3931,object_info_1,200,OK,Thread Group 1-449,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,3931,0,3050
1673376847392,1943,HTTP Request test,200,OK,Thread Group 1-585,text,true,,195,128,600,600,http://162.55.220.72:5005/first,1943,0,1058
1673376849001,345,object_info_1,200,OK,Thread Group 1-149,text,true,,232,165,600,600,http://162.55.220.72:5005/object_info_1?age=29&weight=78&name=Maksym,345,0,46
1673376847985,1362,get_method,200,OK,Thread Group 1-488,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,1362,0,1062
1673376849002,345,get_method,200,OK,Thread Group 1-260,text,true,,170,152,600,600,http://162.55.220.72:5005/get_method?age=29&name=Maksym,345,0,47
